date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:59:16	90375/90375	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:12:04%20GMT	http://webapplayers.com/inspinia_admin-v2.1/form_advanced.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/form_advanced.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:18	33133/33133	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:12:06%20GMT	http://webapplayers.com/inspinia_admin-v2.1/form_wizard.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/form_wizard.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:18	23334/23334	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:12:05%20GMT	http://webapplayers.com/inspinia_admin-v2.1/form_file_upload.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/form_file_upload.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:19	26981/26981	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:12:05%20GMT	http://webapplayers.com/inspinia_admin-v2.1/form_editors.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/form_editors.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:19	43074/43074	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:16:17%20GMT	http://webapplayers.com/inspinia_admin-v2.1/projects.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/projects.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:19	45562/45562	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:16:18%20GMT	http://webapplayers.com/inspinia_admin-v2.1/project_detail.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/project_detail.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:19	41741/41741	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:16:21%20GMT	http://webapplayers.com/inspinia_admin-v2.1/teams_board.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/teams_board.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:20	109580/109580	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:11:00%20GMT	http://webapplayers.com/inspinia_admin-v2.1/clients.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/clients.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:20	59838/59838	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:12:07%20GMT	http://webapplayers.com/inspinia_admin-v2.1/full_height.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/full_height.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:20	40536/40536	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:11:49%20GMT	http://webapplayers.com/inspinia_admin-v2.1/file_manager.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/file_manager.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:20	26331/26331	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:10:59%20GMT	http://webapplayers.com/inspinia_admin-v2.1/calendar.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/calendar.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:21	47061/47061	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:12:45%20GMT	http://webapplayers.com/inspinia_admin-v2.1/issue_tracker.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/issue_tracker.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:21	37744/37744	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:10:58%20GMT	http://webapplayers.com/inspinia_admin-v2.1/blog.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/blog.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:21	25966/25966	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:10:57%20GMT	http://webapplayers.com/inspinia_admin-v2.1/article.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/article.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:22	42193/42193	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:11:48%20GMT	http://webapplayers.com/inspinia_admin-v2.1/faq.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/faq.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:22	29914/29914	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:16:21%20GMT	http://webapplayers.com/inspinia_admin-v2.1/timeline.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/timeline.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:23	23523/23523	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:16:17%20GMT	http://webapplayers.com/inspinia_admin-v2.1/pin_board.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/pin_board.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:23	26376/26376	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:16:18%20GMT	http://webapplayers.com/inspinia_admin-v2.1/search_results.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/search_results.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:23	1476/1476	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:16:13%20GMT	http://webapplayers.com/inspinia_admin-v2.1/lockscreen.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/lockscreen.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:23	26430/26430	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:12:44%20GMT	http://webapplayers.com/inspinia_admin-v2.1/invoice.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/invoice.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:24	2910/2910	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:16:13%20GMT	http://webapplayers.com/inspinia_admin-v2.1/login_two_columns.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/login_two_columns.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:24	1762/1762	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:12:04%20GMT	http://webapplayers.com/inspinia_admin-v2.1/forgot_password.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/forgot_password.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:24	2400/2400	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:16:18%20GMT	http://webapplayers.com/inspinia_admin-v2.1/register.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/register.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:24	1269/1269	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:04:57%20GMT	http://webapplayers.com/inspinia_admin-v2.1/404.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/404.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:25	1010/1010	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:04:58%20GMT	http://webapplayers.com/inspinia_admin-v2.1/500.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/500.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:25	20849/20849	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:11:48%20GMT	http://webapplayers.com/inspinia_admin-v2.1/empty_page.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/empty_page.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:25	36762/36762	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:16:22%20GMT	http://webapplayers.com/inspinia_admin-v2.1/toastr_notifications.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/toastr_notifications.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:25	30345/30345	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:16:15%20GMT	http://webapplayers.com/inspinia_admin-v2.1/nestable_list.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/nestable_list.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:26	34050/34050	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:04:58%20GMT	http://webapplayers.com/inspinia_admin-v2.1/agile_board.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/agile_board.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:26	27464/27464	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:16:21%20GMT	http://webapplayers.com/inspinia_admin-v2.1/timeline_2.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/timeline_2.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:26	25199/25199	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:11:44%20GMT	http://webapplayers.com/inspinia_admin-v2.1/diff.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/diff.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:26	23505/23505	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:12:10%20GMT	http://webapplayers.com/inspinia_admin-v2.1/idle_timer.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/idle_timer.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:27	30343/30343	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:16:19%20GMT	http://webapplayers.com/inspinia_admin-v2.1/spinners.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/spinners.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:27	24190/24190	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:16:22%20GMT	http://webapplayers.com/inspinia_admin-v2.1/tinycon.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/tinycon.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:27	28970/28970	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:12:07%20GMT	http://webapplayers.com/inspinia_admin-v2.1/google_maps.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/google_maps.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:28	23995/23995	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:11:01%20GMT	http://webapplayers.com/inspinia_admin-v2.1/code_editor.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/code_editor.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:28	37671/37671	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:16:15%20GMT	http://webapplayers.com/inspinia_admin-v2.1/modal_window.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/modal_window.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:28	38139/38139	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:12:06%20GMT	http://webapplayers.com/inspinia_admin-v2.1/forum_main.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/forum_main.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
10:59:29	27833/27833	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20May%202015%2018:16:23%20GMT	http://webapplayers.com/inspinia_admin-v2.1/validation.html	/home/shipher/websites/aa/webapplayers.com/inspinia_admin-v2.1/validation.html	(from http://webapplayers.com/inspinia_admin-v2.1/)
